ID,1.10 Do you find Rust's lifetime rules confusing when programming in Rust?,1.11 Do you find Rust's ownership rules confusing when programming in Rust?,"1.12 Do you understand the error messages provided by the Rust compiler, when your code violates lifetime rules?","1.13 Do you understand the error messages provided by the Rust compiler, when your code violates ownership rules?","1.14 Besides lifetime and ownership, please write down other language features of Rust that confuse you when you program with Rust.",PA Answer,PB Answer,Which PC?,PC.Q1 (a. Please mark the statement or the program tokens that cause the Rust compiler to reject the program.),PC.Q1 rating,"PC.Q2 (b. Please rate how easy or how difficult it is to figure out the error of the above program on a scale from 1 to 10. ``1'' means ``very easy'', and ``10'' means ``very difficult''.)",PC.Q3 (c. Which Rust safety rule is violated in the above program? ``[X]'' indicates a variable/type name in the program. Only one of the following options is correct.),PC.Q3 rating,"PC.Q4 (d. Given the above error messages, please rate how easy or how difficult it is to figure out the error of the above program on a scale from 1 to 10.)",PC.Q5 (e. Please rate the helpfulness of the above error messages to your understanding of the error on a scale from 1 to 10.),"PC.Q6 (f. In your own words, please explain the above compiler error.)",PC.Q6 rating,Which PD?,PD.Q1 (a. Please mark the statement or the program tokens that cause the Rust compiler to reject the program.),PD.Q1 rating,"PD.Q2 (b. Please rate how easy or how difficult it is to figure out the error of the above program on a scale from 1 to 10. ``1'' means ``very easy'', and ``10'' means ``very difficult''.)",PD.Q3 (c. Which Rust safety rule is violated in the above program? ``[X]'' indicates a variable/type name in the program. Only one of the following options is correct.),PD.Q3 rating,"PD.Q4 (d. Given the above error messages, please rate how easy or how difficult it is to figure out the error of the above program on a scale from 1 to 10.)",PD.Q5 (e. Please rate the helpfulness of the above error messages to your understanding of the error on a scale from 1 to 10.),"PD.Q6 (f. In your own words, please explain the above compiler error.)",PD.Q6 rating
69,Most of the time,Sometimes,Sometimes,Always,The current async ecosystem is confusing.,Yes,No,C2,51: *num,0,10,lifetime of reference outlives lifetime of borrowed content,0,2,10,"out1.a[1] needs to be moved into the function test in order for the function to use it, but it doesn't implement Copy.",7.6,D2,72: &,0,10,cannot move out of [X] because it is borrowed,0,4,7,"Since Bar2 doesn't implement Copy, calling the function f1 moves bar out2, which prevents it from being called again.",10
70,Never,Never,Most of the time,Most of the time,"Advanced usage of things like Pin confuse me; in general, this is related to my lack of understanding (due to lack of time spent understanding) regarding the async/await features of Rust.",No,No,C2,"117: out1.a[1],,118: &,124: out2.a.1,,125: &",0.3333333333,4,"cannot move out of  [X], a non-copy [X]",1,1,10,"We want to pass by value to test an Inner, which is a component of the larger struct Outer. The only way to do this is to allow Inner to be copied, or to allow test to take Outer as a whole.~$br$~~$br$~Even though `Inner` is built of primitive types which implement `Copy`, `Copy` is not implemented for `Inner`. It is easy to implement it using a `#[derive(Copy)]`, because the primitives are both `Copy`able.~$br$~~$br$~",5.8,D3,"126: f3(,127: &mut,128: bar2);",1,9,Prefer not to answer,0,7,4,"Rust is complaining that an item was mutably borrowed twice, in particular, bar2 is mutably borrowed on line 27, and then again on line 28. However, it is not clear to me why it is that the first borrow does not end with the function call on line 27. This likely has something to do with the ~$dq$~higher rank trait bounds~$dq$~ being used in this example.",7.6
71,Sometimes,Never,Most of the time,Always,"Things related to `Pin` and `Future` are a tad confusing, mostly the implications `Pin` has for values once they're pinned.",No,Yes,C3,105: &out1.a[1];,1,7,cannot borrow [X] as immutable because it is also borrowed as mutable,1,5,5,"The indexing operator applied to `out1.a` triggers a borrow of the entirety of `out1.a`, whereas using the tuple indexing for `out2.a` allows rust to understand the disjoint borrows. So attempting to borrow a field through both `out1.a[0]` and `out1.a[1]` are conflicting, notably here because one is mutable and one is immutable.~$br$~~$br$~I rated the error as more difficult than I otherwise would, due to the somewhat complex gotcha involved with the indexing operator. ",10,D1,121: bar2.f1();,1,9,cannot borrow [X] as mutable more than once at a time,1,2,6,"`Bar2::f1` borrows itself mutably for the same lifetime as its field of type `&'b Foo`. Normally the borrow caused by the function call would end immediately since the return value is unused, and trivial lexical lifetimes would have no trouble determining this. But since the lifetime is explicitly specified, vs elided, as a lifetime that lasts at least as long as `Bar2` itself can live, the borrow will never end. Which in this case, means after a first call to `Bar2::f1`, no mutable borrow of a `Bar2` can be taken again.~$br$~~$br$~The error message helps with the obvious problem of multiple mutable borrows, but doesn't explain the lifetime issue that fundamentally leads to it.",10
72,Sometimes,Sometimes,Always,Always,I am not used to the concept of working with pointers directly because I come from Java and Python. So the * is sometimes confusing.,Yes,Yes,C1_e,"128: out1.a[1],136: out2.a.1",0.5,5,cannot borrow [X] as immutable because it is also borrowed as mutable,1,2,10,"The concept of not not having shared references is violated, because a reference is passed as mutable and non mutable at the same time. ",4.2,D2,"69: self.x,",0,7,the parameter type [X] may not live long enough,0,5,9,The no shared references rule is violated because a variable is moved and used after that.,6
73,Sometimes,Never,Most of the time,Always,"sometimes the unstable features are confusing, like `#![feature(test)]`. The async stream story is confusing too",No,Yes,C3,"103: r2,108: r4",0.5,8,cannot borrow [X] as immutable because it is also borrowed as mutable,1,1,10,The code has both mutable borrow and immutable borrow in the same function for out1. So it violates the borrow check.,5.8,D2,105: bar2.f2(,0,8,lifetime of reference outlives lifetime of borrowed content,0,1,10,Didn't notice the &self was written in self. :( Never thought it is legally written in that way since the function will take ownership of the self. So it is still an ownership issue.,6
74,Sometimes,Never,Sometimes,Most of the time,partially moved struct,No,Yes,C2,"119: mut,126: mut",0,9,cannot borrow [X] as immutable because it is also borrowed as mutable,0,4,4,"cannot move a field out of a struct without copying, because otherwise that would leave the struct in a partially moved state",4.2,D3,108: bar.x,0,8,cannot move out of [X] which is behind a mutable reference,0,3,10,"bar2 is already mutably borrowed in line 27, but it's mutably borrowed again in line 28, which violates the rule that either one mutable reference or any number of immutable reference can live at a time",5.8
75,Never,Never,Most of the time,Most of the time,"Earlier Q/A phrasing may mislead.  I rarely find lifetime/ownership rules or error messages _confusing_; I understand the rules have usually have little trouble understanding the complaints about breaking them.  Much more, it's more difficult to understand how to structure my process to avoid them.~$br$~~$br$~Work with conceptually ~$dq$~nearby~$dq$~ (but not interchangeable) types, and very generic types (e.g., steps in query building with Diesel), are more common morasses.",No,Yes,C3,110: &out2.a.1;,0,9,cannot borrow [X] as immutable because it is also borrowed as mutable,1,1,10,"Array can only be borrowed wholly, not element by element.",8.4,D3,54: for<'a>,0,10,Prefer not to answer,0,8,4,"f3() declares return to have same lifetime as input param, so (implicitly) dropped reference to return doesn't actually end the borrow.",6
76,Sometimes,Never,Most of the time,Always,Higher-Kinded Trait Bounds,No,No,C1,"127: &,136: out2.a.1",0.5,3,cannot borrow [X] as immutable because it is also borrowed as mutable,1,1,10,too tired,0,D3,"56: &Bar2,",0,6,wrong number of type arguments,0,1,10,"I don't think this error is correct for current Rust since NLL. Prior to NLL the borrow at line 27 would have lived until the end of the lexical scope; however, since NLL the borrow would end before line 28 because the returned value from f3 is not used in any way and so the borrow ends.",4.2
77,Sometimes,Sometimes,Most of the time,Most of the time,No,No,Yes,C2,"117: out1.a[1],",1,4,"cannot move out of  [X], a non-copy [X]",1,4,7,The ownership is shipped to the function while Outer1 has not been implemented with `Copy` trait.,4.2,D3,"134: &mut,135: bar2);",1,3,cannot borrow [X] as mutable more than once at a time,1,2,8,"To avoid dangling point, Rust compiler highlights the code that do mutable borrow twice",5.8
78,Sometimes,Sometimes,Most of the time,Most of the time,"Operator precedence, async function, macro",No,Yes,C3,"102: let,103: r2,104: =,105: &out1.a[1];,107: let,108: r4,109: =,110: &out2.a.1;,112: *r1,113: +=,114: 1;,116: *r3,117: +=,118: 1;",0.3636363636,7,cannot borrow [X] as immutable because it is also borrowed as mutable,1,1,10,"On line 24, out1.a is mutable borrowed to r1.~$br$~On line 26, out1.a is immutable borrowed to r2.~$br$~But later on line 28, mutable reference r1 is used. So before line 26, r1 can't be dropped.~$br$~",7.6,D3,"126: f3(,127: &mut,128: bar2);",1,10,cannot borrow [X] as mutable more than once at a time,1,1,8,Bar2 is mutable borrowed twice at line 27 and 28.~$br$~,5.8
79,Sometimes,Sometimes,Most of the time,Most of the time,"Types and polymorphism, macros, shared state currency.",No,Yes,C1_e,128: out1.a[1],1,7,cannot borrow [X] as immutable because it is also borrowed as mutable,1,6,4,"When a variable (out1.a) is borrowed the variable borrowing can read the value but cannot mutate (even if the original value is mutable). With immutable borrow, the borrowing variable is guaranteed that the value would not change. because out1.a is also being borrowed as a mutual it is leading to a code error. I have always found the way rust talks about their errors confusing, there is a language barrier to understanding them",5.8,D2,120: bar2.f1();,1,5,cannot use [X] because it was mutably borrowed,0,8,6,a variable (bar.2) was used after its contents have been moved somewhere else.,4.2
80,Sometimes,Sometimes,Most of the time,Most of the time,design pattern,No,Yes,C1,"125: &mut,127: &",1,3,cannot borrow [X] as immutable because it is also borrowed as mutable,1,1,10,rust only allows one mutable borrow at a time,5.8,D1_e,106: bar2.f2(,0,10,lifetime of reference outlives lifetime of borrowed content,0,6,8,understand borrow check~$br$~do not understand lifetime,3
81,Sometimes,Never,Most of the time,Always,"`async` is the big one.~$br$~Concurrency programming independent of `async`, sometimes.~$br$~Maneuvering orphan rules, sometimes.",No,Yes,C2,120: out1.a[0].in_a,0,4,"cannot move out of  [X], a non-copy [X]",1,1,9,"The indexing operation (`[1]`) is attempting to move an element out of the array, however this is not possible as the type is not `Copy` and it is not allowed to remove ownership from the array.  This is in contrast with the tuple, in which `.1` is a field, where as `[T]` has no fields per se (the compiler does not track which specific indices are referenced or moved), and indexing is implemented via a trait.  The compiler highlighted the disallowed move.",10,D3,134: &mut,1,4,cannot borrow [X] as mutable more than once at a time,1,7,5,"There are two portions of this error which require some experience in Rust.  One is that the lifetime constraints on the `f3` closure are too strict: `&'a Foo<'a>` is almost never what you want.  This forces the lifetime of the reference to match that of the struct, when you almost always want to allow it to be shorter.  The second is that if you return a reference from a function that takes `&mut`, the returned reference will maintain the exclusive borrow (even if it is not itself a `&mut`).~$br$~~$br$~These two issues combine in the example to make the exclusive borrow from the first call to `f3` last through the second call to `f3`, and hence the multible mutable borrows error.~$br$~~$br$~The compiler highlighted the second of the overlapping mutable borrows.",10
82,Always,Sometimes,Sometimes,Sometimes,Understanding what attributes are available.  Project/test organization.,No,Yes,C1_e,"134: out2.a.0.in_a,",0,9,Prefer not to answer,0,7,5,I'm really not sure.  I think you would have to use &out1.a and not &out1.a[1],4.8,D2,128: main(),0,10,Prefer not to answer,0,7,7,i can't explain it,0
83,Most of the time,Sometimes,Most of the time,Most of the time,"multiple ownership and when to use Box, Rc, Arc, Cell, Refcell",No,No,C3,105: &out1.a[1];,1,8,cannot borrow [X] as immutable because it is also borrowed as mutable,1,4,9,The rule of only having 1 mutable reference OR many immutable references to an object at a time is violated. by taking a mutable index of out1 you borrow out1 as mutable so you cannot borrow its second element as mutable.,5.8,D1,121: bar2.f1();,1,10,cannot move out of [X] because it is borrowed,0,8,7,"This violates ownership, there are 2 mutable references. The lifetime of the result from the first call to f1() is the same as f1 so even though it is not assigned to a variable it is still considered borrowed as long as bar2 and foo are in scope so you cannot borrow again while assigning to z",7.6
84,Most of the time,Sometimes,Sometimes,Sometimes,Closure traits,Yes,Yes,C3,"105: &out1.a[1];,110: &out2.a.1;,123: r2);,127: r4);",0.5,8,cannot borrow [X] as immutable because it is also borrowed as mutable,1,4,7,"Only mutable borrow or many immutable borrows may occur at any one time. If there is a mutable borrow, memory errors would be allowed by _also_ allowing immutable borrows. Thus, mutably borrowing should disable all other borrowing while the mutable borrow is in scope.",5.8,D1_e,"47: self.x,62: &'a,106: bar2.f2(,121: bar2.f1();",0.25,10,Prefer not to answer,0,5,5,"Only one mutable borrow is allowed at a time and the lifetime parameters in `f1` indicate that `bar` and the `Foo` both have the same lifetime, which creates conflict: the mutably borrowed outer struct must not be borrowed again afterward.",10
85,Sometimes,Sometimes,Sometimes,Most of the time,General design contraints when working with a strongly typed language. My background is almost exclusively in loosely typed languages.,No,Yes,C3,94: out1.a[0].in_a;,1,6,"cannot move out of  [X], a non-copy [X]",0,3,7,"I had originally thought the error was because the first struct used a fixed array. But I see that was an incorrect belief.~$br$~This error is similar to the prior example: Rust's ownership rules have been violated by our bindings.~$br$~You can only specify 1 mutable reference or multiple immutable references.~$br$~`&mut out1.a[0].in_a` takes a mutable reference to the `in_a` property of whatever is in `a[0]`. ~$br$~~$br$~`&out1.a[1];` later takes an immutable reference to the same `a` array field, but a different index. So these two variable bindings contradict one another.~$br$~~$br$~",7.6,D3,"77: bar.x,",0,7,lifetime of reference outlives lifetime of borrowed content,0,7,9,"Two rules comprise the foundation of of Rust's ownership:~$br$~1. You may only have one, mutable reference~$br$~2. You may have multiple, immutable references~$br$~~$br$~In this case, I think multiple invocations of `f3` cause the lifetimes to overlap and violate the first rule. The second invocation of `f3` uses the same bound variable `bar2. ~$br$~~$br$~The Rust compiler highlights our offending usage because it violates the first rule of ownership I described.",7.6
86,Never,Never,Always,Always,"Match ergonomics can be confusing: for instance, `match option { Some(x) => Some(x), None => None }` may not always be simplified to `option` (that is, it may not be the identity function)",No,Yes,C2,"117: out1.a[1],",1,5,"cannot move out of  [X], a non-copy [X]",1,1,7,"The lies in partial moves: the compiler needs to understand that part of a value was moved out of some bigger instance (`Outer` in the example), so as to:~$br$~  - prevent any operations that would rely on that value being usable, such as moving the whole `Outer` struct, or calling a method on it;~$br$~  - when the compiler drops the `Outer`, it needs to know which part not to drop.~$br$~~$br$~And in this instance, it turns out that Rust can make this analysis for tuple and other product types (such as struct(ural record)s), but not for (fixed-size) arrays.~$br$~~$br$~It is not impossible that Rust would become smart enough to understand partial moves with fixed-size arrays, so that this example may compile in the future: I recommend this example be tweaked to using a more ~$dq$~complex~$dq$~ hard-to-study datatype such as a `Vec`",8.4,D3,"134: &mut,135: bar2);",1,4,cannot borrow [X] as mutable more than once at a time,1,3,4,"By having nested borrows with the same lifetime, we are expressing, at the type-level / API-wise, that we have a self-referential struct: once we witness it (_e.g._, once we construct a `&'a mut Bar<'a>`), the struct itself is considered to be borrowed until it is dropped (this is because some implementations could do that, and Rust compile-time analysis cannot be based on implementations but on type signatures). So, conservatively, the borrow checker won't let that the self-referential struct be borrowed again.~$br$~~$br$~I do agree, however, that the error message is lack-luster: ideally it would warn about the nested-borrow-with-same-lifetime code smell, since this is indeed a common error for beginners that troubles / confuses them.",6
87,Never,Never,Most of the time,Most of the time,I'm not generally confused by any of the rust language features (beyond confusion presented in the implementation thereof).,No,Yes,C2,120: out1.a[0].in_a,0,5,use of moved value: [X],0,6,5,"Moving out of an array subscript leaves the array element uninitialized, which could then be accessed with a dynamic subscript, or subsequently dropped if `Inner` had drop glue. ",8.4,D3,134: &mut,1,2,cannot borrow [X] as mutable more than once at a time,1,2,7,"Because `f3` takes `&'a mut Bar<'a>`, and `&mut T` is invariant over `T`, the lifetime of the borrow must match the lifetime of `Bar`. This means that the first borrow must still exist when `f3` is called a second time, borrowing `bar2` as mutable twice in the same lifetime (which rust does not permit). ",10
88,Most of the time,Never,Most of the time,Always,None that are unique to Rust.,No,No,C2,51: *num,0,7,cannot borrow [X] as immutable because it is also borrowed as mutable,0,3,8,The method call is trying to move ownership of the Inner property to the function independently of the Outer struct.,4.2,D3,133: f3(,0,8,"closure may outlive the current function, but it borrows [X], which is owned by the current function",0,5,7,The first mutable reference is kept alive due to the lifetime system such that when the second mutable reference is created the first one still exists.,5.8
89,Sometimes,Sometimes,Most of the time,Most of the time,Trait object restrictions,No,Yes,C3,"105: &out1.a[1];,110: &out2.a.1;",0.5,6,cannot borrow [X] as immutable because it is also borrowed as mutable,1,2,10,The immutable reference would be referencing a value that could be mutated while reading from it.,5.8,D2,120: bar2.f1();,1,3,use of moved value: [X],1,2,9,"The value had already moved, so you can't move it again (which calling f1 would do each time it is called)",8.4
90,Most of the time,Most of the time,Most of the time,Sometimes,"Rust does not contain NULL, and Option is equivalent to NULL on the ABI",Yes,No,C1,"61: fn,62: main,63: (),64: {,67: let,68: mut,69: out1,70: =,71: Outer1,72: {,75: [,76: Inner,77: {,78: in_a:,79: 1,,80: in_b:,81: 2,82: },,83: Inner,84: {,85: in_a:,86: 3,,88: 4,89: },90: ]",0,8,two closures require unique access to [X] at the same time,0,7,7,cannot return value referencing local variable,3,D1_e,"104: excerpt,106: bar2.f2(,112: println!(",0,7,lifetime of reference outlives lifetime of borrowed content,0,8,7,cannot borrow as immutable because it is also borrowed as mutable,4.2
91,Sometimes,Never,Most of the time,Always,Iterators,No,Yes,C3,"102: let,103: r2,104: =,105: &out1.a[1];,107: let,108: r4,109: =,110: &out2.a.1;",0.4285714286,5,cannot borrow [X] as immutable because it is also borrowed as mutable,1,1,10,"The mutable reference to out1.a[0] also means there is a mutable borrow of out1, and similarly the immutable reference to out1.a[1] creates another reference to out1.~$br$~In Rust an object can have either a number of immutable references or a single mutable reference and no combination of the two and this rule is violated.",7.6,D1,72: &,0,5,lifetime of reference outlives lifetime of borrowed content,0,3,8,"In line 30 a mutable reference to bar2 is made, and it would be dropped at the end of the function.~$br$~However, a second mutable reference to bar2 is made in line 31 and that violates borrowing rules",7.6
92,Sometimes,Never,Sometimes,Sometimes,"Nothing else much, really",No,Yes,C2,"92: mut,93: out2,94: =,95: Outer2,96: {,98: a:,99: (,100: Inner,101: {in_a:,102: 1,,103: in_b:,104: 2},,105: Inner",0,7,cannot assign to [X] because it is borrowed,0,8,9,"test(out1.a[1], &mut out1.a[0].in_a) cannot be moved because the type is wrong",4.2,D2,"22: Foo,,105: bar2.f2(",0,7,cannot use [X] because it was mutably borrowed,0,7,9,The value of bar2 cannot go through because of f1(self),6
93,Sometimes,Sometimes,Most of the time,Most of the time,Pin. Higher-kinded types. Higher-rank trait bounds. Atomics.,No,Yes,C1,"125: &mut,133: &mut",0.5,2,cannot borrow [X] as immutable because it is also borrowed as mutable,1,1,10,"The safety rule which is violated is that a mutable borrow must be an exclusive borrow of an item and shared borrows must not exist at the same time. In Line 32, a mutable (exclusive) borrow of out1 is created at the same time that a shared borrow of out1 is created. ",5.8,D3,"108: bar.x,117: ~$dq$~An,118: online,119: article~$dq$~,",0,9,cannot move out of [X] which is behind a mutable reference,0,7,9,"I am surprised by this compiler error, because I expected the compiler to be able to deduce that the first mutable borrow (Line 27) is no longer active by the time the next one is created (Line 28) (~$dq$~Non-lexical lifetimes~$dq$~). I cannot explain this error based on my current level of knowledge. I suspect it has something to do with closures capturing from the surrounding scope, but I don't fully expect that it applies since they are ~$dq$~pure~$dq$~closures (that is, they reference only items from their arguments).",4.2
94,Sometimes,Sometimes,Most of the time,Most of the time,Unsafe rust,No,Yes,C1_e,"126: out1.a[0].in_a,,128: out1.a[1]",1,8,cannot borrow [X] as immutable because it is also borrowed as mutable,1,3,9,The compiler explains that the array field in Outer1 is borrowed as a whole.~$br$~For that reason you can't have an immutable borrow to one element while also having a mutable borrow to another.,10,D1,119: z,0,10,Prefer not to answer,0,4,8,f2 takes a mutable borrow to a Bar struct. calling f2 twice creates multiple mutable borrows.,5.8
95,Sometimes,Never,Most of the time,Always,drop rules,No,Yes,C3,105: &out1.a[1];,1,3,cannot borrow [X] as immutable because it is also borrowed as mutable,1,2,9,When taking a references into a slice rust pessimistically (but soundly) considers the whole slice as borrowed.,8.4,D1,36: &'b,1,6,the parameter type [X] may not live long enough,0,1,9,The lifetime associated to the return value of f1 in line 30 is alive till the end of the function when rust decides to drop the value. Because this lifetime is the same than the one bar2 is borrowed with at line 31 bar2 is considered borrowed.,6
96,Sometimes,Never,Always,Always,none,No,Yes,C3,105: &out1.a[1];,1,7,cannot borrow [X] as immutable because it is also borrowed as mutable,1,3,9,Line 24: Mutable borrowing field out1.a (partial borrowing is not applicable -> index based = trait based access)~$br$~Line 26: Immutable borrowing field out1.a (instance out1) -> 2 mutable references in the same scope as first mutable reference needs to be in scope until line 28,10,D3,134: &mut,1,7,cannot borrow [X] as mutable more than once at a time,1,5,6,> First call of function f3 returns an immutable reference to Foo garanteed to live as long as instance bar2 ('b)~$br$~> Prevents the first mutable reference to go out of scope when f3 gets called a second time~$br$~> Rust safety rule violation: 2 mutable references in a particular scope,10
97,Sometimes,Sometimes,Always,Always,Memory safety and management,No,Yes,C3,105: &out1.a[1];,1,7,cannot borrow [X] as immutable because it is also borrowed as mutable,1,1,8,"The program can't be executed because it already borrows 'out1.a[_]' as mutable in line 24, causing an error when it tries to borrow it as immutable in line 26. The compiler has highlighted the reference in line 26 in red as that is the one causing the error.",5.8,D1,121: bar2.f1();,1,3,cannot borrow [X] as mutable more than once at a time,1,1,9,"In line 30, 'bar2' is borrowed once as mutable (due to line 27). However, in line 31 'bar2' is borrowed again as mutable, causing a borrowing error. Again, the compiler has highlighted the problematic code in red to show the line causing the error, as well as the first reference of the variable in question in blue.",5.8
98,Sometimes,Never,Most of the time,Always,Macros.  Async/await.,No,Yes,C1_e,"127: &,128: out1.a[1]",1,8,cannot borrow [X] as immutable because it is also borrowed as mutable,1,2,9,"Even when you attempt to borrow a small part of an array, Rust borrows the entire array. On line 32 the array is first borrowed mutably, so the subsequent attempt to borrow it immutably as well violates the rule that something may only have a single mutable reference OR any number of immutable references.",10,D3,108: bar.x,0,9,cannot move out of [X] which is behind a mutable reference,0,5,9,"`bar2` is mutably borrowed by the function f3 on line 27. In the last question I assumed that line 23 was not the error, because I had missed that it is moving the x field out of bar, not creating and returning an immutable reference to the x field of bar <headpalm>. The x field can apparently be successfully moved out.  Apparently non-lexical lifetimes are not fine-grained enough for the compiler to realize that the mutable reference `&mut bar2` no longer needs to remain borrowed after line 27, so it must hold on to that borrow. Therefore in line 28 a second mutable borrow cannot occur (only one mutable reference may exist at a time).  I would have assumed that the compiler with the benefit of NLL would have allowed the mutable reference from line 27 drop after the function call and then create a new mutable reference on line 28. If the compiler had done this, I would have then expected it to emit an error about bar2 no longer being fully initialized (because of a field having been moved out and not replaced).",5.8
99,Sometimes,Sometimes,Most of the time,Most of the time,"Const generics (new in Rust 1.51), macros in general (still have not learned how to read macros, I use them but don't write my own), and the module system.",No,Yes,C3,105: &out1.a[1];,1,8,cannot borrow [X] as immutable because it is also borrowed as mutable,1,5,7,"r1 is treated by the compiler as a mutable reference to an entire array, despite specifically referencing one struct field (in_a) of the the first array element (a[0]).~$br$~~$br$~That mut ref is still ~$dq$~live~$dq$~ at the time we try to take an immutable reference to the second array element when assigning r2. The ~$dq$~liveness~$dq$~ is the result of it being used later, to update r1 on line 28.~$br$~~$br$~This violates the memory safety rule where at any given time there can be multiple mutable references XOR a single mutable reference. This is important to prevent data races.~$br$~~$br$~The tricky part here is that the borrow checker is not ~$dq$~smart~$dq$~ enough to break down our borrows at the struct of field level, it treats the entire array as a ~$dq$~monolithic~$dq$~ item. This particular code is probably safe in practice.",10,D1,73: s[..ind],0,10,lifetime of reference outlives lifetime of borrowed content,0,9,3,"Despite not actually mutating bar and returning an immutable reference, f1 takes a mutable reference to self (e.g. bar), causing a mutable borrow. So can't have a 2nd mutable borrow to assign z. But this is confusing because we don't use or assign the result of the first call to f1, and even if we did it's an immutable reference.~$br$~~$br$~This violates the same memory safety rule as the previous question: multi-immutable references XOR single mutable reference at any point, to prevent data races.~$br$~~$br$~Even after seeing the warning, I don't understand why this error is occurring - it seems like the first mutable reference should no longer be ~$dq$~live~$dq$~ so the 2nd borrow should not violate safety rules. ",5.8
100,Sometimes,Most of the time,Sometimes,Sometimes,Types somtimes,Yes,No,C1_e,128: out1.a[1],1,8,cannot borrow [X] as immutable because it is also borrowed as mutable,1,9,9,Attempting to burrow part of the array as a mutable variable and then attempting to borrow another portion of the array as immutable is not allowed in Rust as the entire array must be ~$dq$~checked out~$dq$~ as one object.,10,D3,"133: f3(,135: bar2);",1,8,cannot borrow [X] as mutable more than once at a time,1,6,8,"Because the function wants to borrow the variable, it cannot be borrowed since it is out of scope and already in use. Rust does not want to have the variable mutated in different locations.",5.8
101,Never,Never,Most of the time,Always,Can't think of any that confuse me any more.,No,Yes,C3,"105: &out1.a[1];,112: *r1",1,3,cannot borrow [X] as immutable because it is also borrowed as mutable,1,2,8,"Line 24 takes a mutable borrow to a field of an element of an array. Line 26 takes an immutable borrow to a different element of the array, but Rust conservatively assumes that all array accesses could conflict, so it's marked as a potentially conflicting borrow. Mutable borrows assume only one active user of the referent at a time, so trying to take an immutable borrow violates this rule.",10,D2,"115: bar2.f1();,120: bar2.f1();",1,5,use of moved value: [X],1,1,10,"The method Bar2::f1 consumes ownership of the receiver, so bar2.f1() on line 30 moves bar2. A value cannot be used after it is moved, so trying to call bar2.f1() again on line 31 is a use-after-move.",8.4
